Average waiting time: 5606.102244389028
pNumber,burstTime,arrivalTime,waitingTime,endTime
12,36,376,8491,8903,
347,29,378,8525,8932,
40,27,380,8552,8959,
171,34,381,8578,8993,
160,27,383,8610,9020,
233,29,385,8635,9049,
397,34,386,8663,9083,
180,35,388,8695,9118,
224,23,388,8730,9141,
248,32,388,8753,9173,
133,30,389,8784,9203,
162,24,390,8813,9227,
178,32,391,8836,9259,
217,34,391,8868,9293,
126,27,392,8901,9320,
250,38,393,8927,9358,
363,33,393,8965,9391,
361,27,394,8997,9418,
97,31,398,9020,9449,
174,23,398,9051,9472,
110,26,400,9072,9498,
54,19,401,9097,9517,
216,37,403,9114,9554,
182,31,404,9150,9585,
8,27,405,9180,9612,
399,29,406,9206,9641,
51,38,407,9234,9679,
207,26,409,9270,9705,
371,30,409,9296,9735,
261,32,411,9324,9767,
368,30,411,9356,9797,
45,36,412,9385,9833,
129,27,414,9419,9860,
56,23,415,9445,9883,
68,37,415,9468,9920,
119,19,416,9504,9939,
383,32,418,9521,9971,
158,35,421,9550,10006,
49,29,422,9584,10035,
338,41,422,9613,10076,
42,36,424,9652,10112,
352,32,424,9688,10144,
303,29,426,9718,10173,
84,32,430,9743,10205,
24,39,431,9774,10244,
98,32,431,9813,10276,
77,26,433,9843,10302,
81,28,433,9869,10330,
312,32,433,9897,10362,
25,23,435,9927,10385,
123,31,436,9949,10416,
138,32,440,9976,10448,
188,29,442,10006,10477,
194,27,442,10035,10504,
251,38,443,10061,10542,
43,23,444,10098,10565,
282,28,446,10119,10593,
101,31,447,10146,10624,
302,25,447,10177,10649,
96,28,448,10201,10677,
102,39,449,10228,10716,
146,28,450,10266,10744,
295,35,450,10294,10779,
287,27,453,10326,10806,
0,24,454,10352,10830,
215,28,454,10376,10858,
385,30,457,10401,10888,
112,22,458,10430,10910,
323,30,458,10452,10940,
85,22,459,10481,10962,
87,29,459,10503,10991,
106,25,459,10532,11016,
258,36,459,10557,11052,
59,27,460,10592,11079,
246,26,464,10615,11105,
111,30,465,10640,11135,
186,22,469,10666,11157,
65,35,470,10687,11192,
196,24,470,10722,11216,
360,29,471,10745,11245,
376,31,472,10773,11276,
209,30,473,10803,11306,
64,31,474,10832,11337,
15,31,475,10862,11368,
157,30,480,10888,11398,
377,35,484,10914,11433,
27,29,485,10948,11462,
213,35,485,10977,11497,
142,34,486,11011,11531,
121,18,487,11044,11549,
144,25,488,11061,11574,
145,27,490,11084,11601,
252,31,493,11108,11632,
373,26,494,11138,11658,
125,28,495,11163,11686,
58,42,496,11190,11728,
116,36,496,11232,11764,
90,32,497,11267,11796,
311,35,498,11298,11831,
277,28,499,11332,11859,
